address,lat,lon,total,serious_crime,robbery,other,violent_crime,armed_perps,Assault,injury,intimidation,Extortion,theft_by_home_invasion,safe_cracking,School_Violence,Office_Violence,Store_Opening_Violence,empty_house_robbery,Stealth_Robbery,Illegal_Occupancy,other,Non-invasive_Robbery,Car_Theft,motorcycle_theft,bicycle_theft,property_theft_from_car,Vending_Machine_Theft,construction_site_theft,pick_pocketing,hit_n_run,property_theft,shoplifting,other,other_totals,scam,embezzlement,con_artist_crimes,gambling_crive,other_penal_code_offenses,Year
千代田区富士見１丁目,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,4,3,0,0,0,1,2018
千代田区富士見２丁目,0,0,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,1,1,8,9,2,1,0,0,6,2018
千代田区飯田橋１丁目,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2018
千代田区飯田橋２丁目,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018
千代田区飯田橋３丁目,0,0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,1,3,0,1,0,0,2,2018
千代田区飯田橋４丁目,0,0,35,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,3,0,1,0,5,14,4,2,0,0,8,2018
千代田区一ツ橋１丁目,0,0,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,1,1,1,1,0,0,0,0,2018
千代田区一ツ橋２丁目,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,2018
千代田区神田神保町１丁目,0,0,44,1,0,1,6,0,4,1,0,1,3,0,0,1,2,0,0,0,0,26,0,0,4,0,0,0,0,0,0,15,7,8,3,2,0,0,3,2018
千代田区神田神保町２丁目,0,0,24,0,0,0,6,0,2,4,0,0,1,0,0,0,1,0,0,0,0,12,0,0,4,0,0,0,0,0,0,3,5,5,2,0,0,0,3,2018
千代田区神田神保町３丁目,0,0,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,1,0,0,0,0,0,3,4,5,3,1,0,0,1,2018
千代田区神田三崎町１丁目,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区神田三崎町２丁目,0,0,40,0,0,0,4,0,0,4,0,0,4,0,1,1,2,0,0,0,0,22,0,0,9,1,1,0,1,0,2,2,6,10,4,1,0,0,5,2018
千代田区神田三崎町３丁目,0,0,19,0,0,0,3,0,2,1,0,0,1,0,0,0,1,0,0,0,0,10,0,0,1,1,0,0,0,0,2,1,5,5,0,1,0,0,4,2018
千代田区西神田１丁目,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018
