Position,Track Name,Artist,Streams,URL
182,Jackie Chan,Tiësto,596806,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
183,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,596727,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
184,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,595047,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
185,"Thunderclouds (with Sia, Diplo & Labrinth)",Sia,594236,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
186,Happier,Ed Sheeran,592708,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
187,Wonderwall - Remastered,Oasis,592385,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
188,goosebumps,Travis Scott,589076,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
189,Photograph,Ed Sheeran,587635,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
190,Nice For What,Drake,583318,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
191,Derdim Olsun,Reynmen,582106,https://open.spotify.com/track/0m0Ew7RcwZaBS8psxgE00P
192,HUMBLE.,Kendrick Lamar,579145,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
193,Sin Pijama,Becky G,577187,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
194,Look At Me!,XXXTENTACION,574963,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
195,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,568188,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz
196,Agora é Tudo Meu,Dennis DJ,563181,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz
197,I'm Yours,Jason Mraz,562555,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
198,All Girls Are The Same,Juice WRLD,559895,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
199,Young Dumb & Broke,Khalid,558762,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
200,Lucky You (feat. Joyner Lucas),Eminem,557089,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
